"sampleID","sex","hemiclone","replicate"
"GSM425528","female","H07","1"
"GSM425529","female","H07","2"
"GSM425530","female","H07","3"
"GSM425531","female","H07","4"
"GSM425532","male","H07","1"
"GSM425533","male","H07","2"
"GSM425534","male","H07","3"
"GSM425535","male","H07","4"
"GSM425536","female","H09","1"
"GSM425537","female","H09","2"
"GSM425538","female","H09","3"
"GSM425539","female","H09","4"
"GSM425540","male","H09","1"
"GSM425541","male","H09","2"
"GSM425542","male","H09","3"
"GSM425543","male","H09","4"
"GSM425544","female","H10","1"
"GSM425545","female","H10","2"
"GSM425546","female","H10","3"
"GSM425547","female","H10","4"
"GSM425548","male","H10","1"
"GSM425549","male","H10","2"
"GSM425550","male","H10","3"
"GSM425551","male","H10","4"
"GSM425552","female","H12","1"
"GSM425553","female","H12","2"
"GSM425554","female","H12","3"
"GSM425555","female","H12","4"
"GSM425556","male","H12","1"
"GSM425557","male","H12","2"
"GSM425558","male","H12","3"
"GSM425559","male","H12","4"
"GSM425560","female","H13","1"
"GSM425561","female","H13","2"
"GSM425562","female","H13","3"
"GSM425563","female","H13","4"
"GSM425564","male","H13","1"
"GSM425565","male","H13","2"
"GSM425566","male","H13","3"
"GSM425567","male","H13","4"
"GSM425568","female","H14","1"
"GSM425569","female","H14","2"
"GSM425570","female","H14","3"
"GSM425571","female","H14","4"
"GSM425572","male","H14","1"
"GSM425573","male","H14","2"
"GSM425574","male","H14","3"
"GSM425575","male","H14","4"
"GSM425576","female","P07","1"
"GSM425577","female","P07","2"
"GSM425578","female","P07","3"
"GSM425579","female","P07","4"
"GSM425580","male","P07","1"
"GSM425581","male","P07","2"
"GSM425582","male","P07","3"
"GSM425583","male","P07","4"
"GSM425584","female","P13","1"
"GSM425585","female","P13","2"
"GSM425586","female","P13","3"
"GSM425587","female","P13","4"
"GSM425588","male","P13","1"
"GSM425589","male","P13","2"
"GSM425590","male","P13","3"
"GSM425591","male","P13","4"
"GSM425592","female","P15","1"
"GSM425593","female","P15","2"
"GSM425594","female","P15","3"
"GSM425595","female","P15","4"
"GSM425596","male","P15","1"
"GSM425597","male","P15","2"
"GSM425598","male","P15","3"
"GSM425599","male","P15","4"
"GSM425600","female","P18","1"
"GSM425601","female","P18","2"
"GSM425602","female","P18","3"
"GSM425603","female","P18","4"
"GSM425604","male","P18","1"
"GSM425605","male","P18","2"
"GSM425606","male","P18","3"
"GSM425607","male","P18","4"
"GSM425608","female","P22","1"
"GSM425609","female","P22","2"
"GSM425610","female","P22","3"
"GSM425611","female","P22","4"
"GSM425612","male","P22","1"
"GSM425613","male","P22","2"
"GSM425614","male","P22","3"
"GSM425615","male","P22","4"
"GSM425616","female","P26","1"
"GSM425617","female","P26","2"
"GSM425618","female","P26","3"
"GSM425619","female","P26","4"
"GSM425620","male","P26","1"
"GSM425621","male","P26","2"
"GSM425622","male","P26","3"
"GSM425623","male","P26","4"
"GSM425624","female","P48","1"
"GSM425625","female","P48","2"
"GSM425626","female","P48","3"
"GSM425627","female","P48","4"
"GSM425628","male","P48","1"
"GSM425629","male","P48","2"
"GSM425630","male","P48","3"
"GSM425631","male","P48","4"
"GSM425632","female","P50","1"
"GSM425633","female","P50","2"
"GSM425634","female","P50","3"
"GSM425635","female","P50","4"
"GSM425636","male","P50","1"
"GSM425637","male","P50","2"
"GSM425638","male","P50","3"
"GSM425639","male","P50","4"
"GSM425640","female","P56","1"
"GSM425641","female","P56","2"
"GSM425642","female","P56","3"
"GSM425643","female","P56","4"
"GSM425644","male","P56","1"
"GSM425645","male","P56","2"
"GSM425646","male","P56","3"
"GSM425647","male","P56","4"
