Probe,logFC,p.val,adj.p.val
1624819_s_at,1.207497259,2.06E-17,3.90E-13
1627842_at,4.83E-01,1.69E-15,1.60E-11
1636271_a_at,-5.05E-01,4.03E-15,2.55E-11
1639972_at,4.37E-01,3.10E-14,1.47E-10
1640957_at,-3.91E-01,1.97E-13,7.46E-10
1639625_at,-2.39E-01,2.91E-12,8.92E-09
1624797_at,5.26E-01,3.30E-12,8.92E-09
1636551_at,-2.23E-01,4.12E-12,9.75E-09
1623658_at,3.60E-01,4.96E-12,1.04E-08
1627267_at,4.01E-01,5.94E-12,1.12E-08
1638054_at,6.54E-01,4.14E-11,7.14E-08
1630260_at,6.61E-01,8.96E-11,1.40E-07
1630299_at,5.53E-01,9.96E-11,1.40E-07
1637819_at,3.92E-01,1.04E-10,1.40E-07
1638837_a_at,-2.01E-01,1.67E-10,2.11E-07
1636960_a_at,2.03E-01,2.48E-10,2.94E-07
1633545_at,-6.68E-01,2.89E-10,3.23E-07
1636274_at,9.09E-01,6.82E-10,7.18E-07
1626309_at,4.02E-01,8.97E-10,8.61E-07
1625035_at,3.92E-01,9.08E-10,8.61E-07
1636409_at,1.298223093,1.51E-09,1.36E-06
1639102_at,-2.10E-01,1.76E-09,1.51E-06
1630244_s_at,7.53E-01,2.04E-09,1.60E-06
1636068_a_at,1.41E-01,2.10E-09,1.60E-06
1630689_at,-3.70E-01,2.17E-09,1.60E-06
1629691_at,-3.16E-01,2.20E-09,1.60E-06
1629359_at,-2.12E-01,2.40E-09,1.68E-06
1631487_s_at,2.87E-01,3.03E-09,2.05E-06
1632642_a_at,-1.43E-01,3.14E-09,2.05E-06
1629118_at,8.71E-01,3.27E-09,2.07E-06
1633844_at,-5.64E-01,3.98E-09,2.43E-06
1628628_at,2.60E-01,5.13E-09,3.02E-06
1626503_at,7.03E-01,5.28E-09,3.02E-06
1637905_s_at,5.75E-01,5.43E-09,3.02E-06
1640950_at,-5.74E-01,5.88E-09,3.18E-06
1632251_s_at,1.94E-01,6.52E-09,3.38E-06
1639118_a_at,-2.59E-01,6.60E-09,3.38E-06
1640379_s_at,-3.62E-01,7.75E-09,3.87E-06
1639567_at,2.12E-01,8.80E-09,4.26E-06
1639575_at,-3.69E-01,9.06E-09,4.26E-06
1641412_at,7.42E-01,9.25E-09,4.26E-06
1634808_at,4.17E-01,9.44E-09,4.26E-06
1628699_at,-1.103444257,1.10E-08,4.84E-06
1626002_at,-2.79E-01,1.42E-08,6.10E-06
1638717_at,4.71E-01,1.56E-08,6.57E-06
1637182_at,-4.32E-01,1.60E-08,6.60E-06
1634557_at,3.53E-01,1.71E-08,6.74E-06
1624932_at,3.60E-01,1.71E-08,6.74E-06
1629474_at,3.60E-01,1.88E-08,7.17E-06
1626301_at,-4.62E-01,1.89E-08,7.17E-06
1627088_at,-1.200720264,2.01E-08,7.46E-06
1631387_at,-3.19E-01,2.05E-08,7.46E-06
1637372_at,-4.04E-01,2.25E-08,8.05E-06
1631006_a_at,-2.08E-01,2.57E-08,8.95E-06
1637826_at,1.72E-01,2.62E-08,8.95E-06
1634944_at,-2.59E-01,2.64E-08,8.95E-06
1625134_at,1.62E-01,2.92E-08,9.70E-06
1638264_at,2.321132443,2.97E-08,9.70E-06
1629811_at,4.66E-01,3.04E-08,9.77E-06
1637204_at,2.64E-01,3.11E-08,9.81E-06
1641549_at,-1.10E-01,3.37E-08,1.05E-05
1628117_at,3.64E-01,3.87E-08,1.18E-05
1630543_at,1.77E-01,4.05E-08,1.22E-05
1626708_at,-3.61E-01,4.69E-08,1.35E-05
1629125_at,3.78E-01,4.70E-08,1.35E-05
1635251_at,4.94E-01,4.70E-08,1.35E-05
1633434_at,-4.20E-01,4.94E-08,1.37E-05
1623848_a_at,-6.66E-01,5.00E-08,1.37E-05
1633425_at,-4.95E-01,5.01E-08,1.37E-05
1635527_at,2.45E-01,5.05E-08,1.37E-05
1625252_s_at,4.01E-01,5.45E-08,1.46E-05
1625981_at,4.24E-01,5.59E-08,1.47E-05
1624984_at,2.49E-01,5.75E-08,1.49E-05
1637410_s_at,3.89E-01,6.06E-08,1.55E-05
1639897_at,-5.11E-01,6.88E-08,1.73E-05
1639729_s_at,-7.60E-01,6.95E-08,1.73E-05
1631030_at,1.33E-01,7.10E-08,1.75E-05
1639819_at,-5.40E-01,7.66E-08,1.86E-05
1626745_at,1.52E-01,7.88E-08,1.89E-05
1625755_at,2.39E-01,8.36E-08,1.96E-05
1625436_at,-9.02E-01,8.44E-08,1.96E-05
1634216_at,-3.08E-01,8.49E-08,1.96E-05
1632855_at,3.98E-01,9.31E-08,2.13E-05
1633879_a_at,3.85E-01,9.54E-08,2.15E-05
1627847_s_at,-3.29E-01,9.98E-08,2.22E-05
1640097_at,-2.98E-01,1.06E-07,2.33E-05
1641481_at,-4.05E-01,1.09E-07,2.37E-05
1636879_at,3.71E-01,1.23E-07,2.64E-05
1641428_at,-2.58E-01,1.26E-07,2.68E-05
1622912_at,-2.31E-01,1.30E-07,2.75E-05
1638374_at,2.97E-01,1.35E-07,2.82E-05
1635578_at,-3.63E-01,1.42E-07,2.86E-05
1633675_at,3.93E-01,1.42E-07,2.86E-05
1632639_at,-4.82E-01,1.42E-07,2.86E-05
1631535_at,2.22E-01,1.53E-07,3.04E-05
1640167_s_at,-5.71E-01,1.55E-07,3.04E-05
1630212_at,-5.87E-01,1.56E-07,3.04E-05
1637257_at,1.59E-01,1.58E-07,3.04E-05
1633881_at,2.66E-01,1.59E-07,3.04E-05
1628989_at,-6.15E-01,1.66E-07,3.14E-05
1638872_at,-2.26E-01,1.72E-07,3.23E-05
1632114_at,-2.70E-01,1.84E-07,3.42E-05
1629207_at,-1.40E-01,1.96E-07,3.61E-05
1625891_at,-4.73E-01,2.09E-07,3.80E-05
1630359_at,8.93E-01,2.11E-07,3.80E-05
1627881_at,4.29E-01,2.15E-07,3.84E-05
1633319_at,1.63E-01,2.26E-07,3.99E-05
1640479_at,3.90E-01,2.27E-07,3.99E-05
1631994_a_at,1.88E-01,2.32E-07,4.04E-05
1626045_at,-2.08E-01,2.39E-07,4.11E-05
1634112_a_at,1.07E-01,2.56E-07,4.37E-05
1636087_at,8.61E-01,2.97E-07,4.98E-05
1631803_at,-4.61E-01,2.97E-07,4.98E-05
1632735_at,3.03E-01,3.06E-07,5.09E-05
1636208_a_at,-2.16E-01,3.30E-07,5.44E-05
1635675_at,4.36E-01,3.33E-07,5.44E-05
1637490_at,-1.79E-01,3.37E-07,5.46E-05
1629875_a_at,-6.07E-01,3.50E-07,5.63E-05
1632920_at,-2.92E-01,3.70E-07,5.89E-05
1623810_at,4.78E-01,3.93E-07,6.17E-05
1638786_at,-2.32E-01,3.94E-07,6.17E-05
1626165_at,-2.13E-01,4.20E-07,6.52E-05
1633492_at,3.16E-01,4.23E-07,6.52E-05
1637788_at,2.96E-01,4.49E-07,6.87E-05
1627635_at,-1.94E-01,4.59E-07,6.96E-05
1634606_a_at,1.41E-01,4.69E-07,7.05E-05
1639747_at,-1.53E-01,4.90E-07,7.31E-05
1639667_at,4.55E-01,5.22E-07,7.65E-05
1624715_at,-3.53E-01,5.23E-07,7.65E-05
1632087_at,-3.23E-01,5.25E-07,7.65E-05
1633563_at,3.18E-01,5.48E-07,7.93E-05
1638476_s_at,-4.00E-01,5.69E-07,8.17E-05
1633227_s_at,3.25E-01,5.97E-07,8.51E-05
1626578_at,-3.21E-01,6.11E-07,8.64E-05
1622946_at,-4.59E-01,6.24E-07,8.72E-05
1624567_at,2.75E-01,6.25E-07,8.72E-05
1630570_at,3.17E-01,7.06E-07,9.76E-05
1628543_a_at,-1.91E-01,7.43E-07,1.02E-04
1632699_s_at,-3.63E-01,7.49E-07,1.02E-04
1639374_s_at,-4.29E-01,7.78E-07,1.05E-04
1634848_at,2.55E-01,7.90E-07,1.06E-04
1624377_s_at,-4.13E-01,8.29E-07,1.11E-04
1626782_at,1.34E-01,8.60E-07,1.14E-04
1633048_at,-3.83E-01,8.74E-07,1.14E-04
1634569_at,2.13E-01,8.75E-07,1.14E-04
1633716_at,1.49E-01,9.84E-07,1.28E-04
1635996_at,1.87E-01,9.91E-07,1.28E-04
1638736_at,-4.60E-01,9.98E-07,1.28E-04
1639903_at,1.544944959,1.01E-06,1.29E-04
1631571_a_at,1.82E-01,1.03E-06,1.30E-04
1631408_at,3.66E-01,1.06E-06,1.33E-04
1636767_at,6.06E-01,1.07E-06,1.34E-04
1634263_at,3.60E-01,1.08E-06,1.34E-04
1635868_at,-5.74E-01,1.11E-06,1.37E-04
1623883_at,2.25E-01,1.13E-06,1.38E-04
1627024_s_at,2.51E-01,1.25E-06,1.52E-04
1629199_at,-4.72E-01,1.27E-06,1.53E-04
1624100_at,3.70E-01,1.27E-06,1.53E-04
1636688_at,4.46E-01,1.37E-06,1.63E-04
1622977_at,3.35E-01,1.40E-06,1.65E-04
1634413_at,3.70E-01,1.40E-06,1.65E-04
1640269_at,-2.17E-01,1.44E-06,1.68E-04
1638953_a_at,1.21E-01,1.51E-06,1.76E-04
1629969_at,-2.84E-01,1.58E-06,1.83E-04
1636343_at,-7.03E-01,1.61E-06,1.85E-04
1624491_a_at,3.25E-01,1.69E-06,1.93E-04
1624395_at,2.44E-01,1.71E-06,1.94E-04
1635389_s_at,-3.46E-01,1.75E-06,1.98E-04
1624042_at,5.70E-01,1.80E-06,2.01E-04
1641398_s_at,4.47E-01,1.84E-06,2.05E-04
1626930_at,-1.21E-01,1.87E-06,2.07E-04
1632301_at,1.24E-01,1.89E-06,2.08E-04
1627653_at,2.35E-01,1.93E-06,2.11E-04
1627507_at,2.26E-01,2.00E-06,2.18E-04
1625794_at,1.94E-01,2.06E-06,2.24E-04
1625120_at,-2.98E-01,2.10E-06,2.26E-04
