Probe,logFC,p.val,adj.p.val
1624819_s_at,-9.12E-01,1.99E-20,3.77E-16
1637182_at,4.55E-01,2.43E-16,2.31E-12
1625125_at,2.26E-01,2.43E-13,1.53E-09
1632855_at,-3.84E-01,3.47E-13,1.64E-09
1631745_at,-1.06E-01,3.80E-12,1.32E-08
1639766_at,-2.73E-01,4.18E-12,1.32E-08
1634148_at,-4.16E-01,2.11E-11,5.72E-08
1637826_at,-1.42E-01,3.40E-11,7.42E-08
1631617_at,-3.94E-01,3.52E-11,7.42E-08
1640957_at,2.30E-01,4.22E-11,7.99E-08
1636960_a_at,-1.42E-01,5.45E-11,9.39E-08
1631077_at,-3.38E-01,9.06E-11,1.43E-07
1629125_at,-3.01E-01,2.30E-10,3.35E-07
1635675_at,-3.64E-01,5.93E-10,8.03E-07
1634062_at,-2.09E-01,9.66E-10,1.22E-06
1634848_at,-2.17E-01,1.17E-09,1.38E-06
1636409_at,-8.63E-01,2.00E-09,2.23E-06
1626002_at,1.99E-01,2.21E-09,2.32E-06
1640129_at,-2.16E-01,3.13E-09,3.13E-06
1639009_at,2.77E-01,4.09E-09,3.87E-06
1627842_at,-2.23E-01,5.19E-09,4.68E-06
1623287_at,-2.25E-01,8.25E-09,7.10E-06
1628124_at,-2.20E-01,1.09E-08,8.82E-06
1636728_at,-3.71E-01,1.12E-08,8.82E-06
1635527_at,-1.73E-01,1.23E-08,9.36E-06
1639221_at,-5.66E-01,1.32E-08,9.65E-06
1639972_at,-2.07E-01,1.50E-08,1.06E-05
1628814_s_at,-1.20E-01,1.80E-08,1.22E-05
1625533_at,8.35E-02,2.14E-08,1.40E-05
1626150_at,-1.38E-01,2.32E-08,1.46E-05
1629691_at,1.96E-01,2.43E-08,1.48E-05
1630266_at,-5.03E-01,2.49E-08,1.48E-05
1634662_at,3.99E-01,2.65E-08,1.52E-05
1628865_at,-4.31E-01,2.91E-08,1.62E-05
1631030_at,-9.19E-02,3.12E-08,1.69E-05
1638265_s_at,-7.93E-02,3.28E-08,1.72E-05
1639427_at,-4.54E-01,3.46E-08,1.76E-05
1626309_at,-2.39E-01,3.52E-08,1.76E-05
1640167_s_at,4.03E-01,4.04E-08,1.97E-05
1628792_at,-2.29E-01,5.47E-08,2.59E-05
1639894_at,-2.73E-01,5.85E-08,2.70E-05
1639625_at,1.17E-01,8.99E-08,3.97E-05
1641693_s_at,-1.95E-01,9.00E-08,3.97E-05
1627159_at,-8.38E-01,9.82E-08,4.23E-05
1629829_at,-1.72E-01,1.44E-07,6.05E-05
1635937_at,-3.63E-01,1.53E-07,6.24E-05
1637569_s_at,-6.88E-01,1.55E-07,6.24E-05
1632606_a_at,-1.55E-01,1.61E-07,6.34E-05
1633480_at,2.24E-01,1.71E-07,6.63E-05
1634195_at,-2.21E-01,2.49E-07,9.44E-05
1640342_at,-3.78E-01,2.58E-07,9.60E-05
1636782_at,-6.37E-01,2.68E-07,9.76E-05
1624169_at,-2.69E-01,2.75E-07,9.84E-05
1633690_at,1.05E-01,2.84E-07,9.98E-05
1636068_a_at,-7.90E-02,3.50E-07,1.21E-04
1631408_at,-2.55E-01,4.14E-07,1.40E-04
1628768_at,-2.86E-01,4.20E-07,1.40E-04
1627267_at,-1.88E-01,4.59E-07,1.50E-04
1632625_a_at,-4.36E-01,5.38E-07,1.73E-04
1624491_a_at,-2.29E-01,5.80E-07,1.83E-04
1628699_at,6.35E-01,6.04E-07,1.88E-04
1637086_at,-2.32E-01,6.44E-07,1.97E-04
1637004_at,-8.60E-02,6.82E-07,2.05E-04
1638508_at,-4.97E-01,6.95E-07,2.06E-04
1634408_at,-8.58E-02,7.15E-07,2.08E-04
1629753_at,-3.84E-01,7.38E-07,2.12E-04
1635060_at,-1.60E-01,7.82E-07,2.21E-04
1624476_at,-6.38E-01,8.10E-07,2.26E-04
1631239_s_at,-4.84E-01,9.94E-07,2.73E-04
1626027_at,-6.16E-01,1.08E-06,2.93E-04
1628963_at,-1.77E-01,1.18E-06,3.13E-04
1628084_at,-8.06E-01,1.19E-06,3.13E-04
1633881_at,-1.64E-01,1.20E-06,3.13E-04
1625134_at,-9.33E-02,1.26E-06,3.23E-04
1634127_a_at,-2.27E-01,1.30E-06,3.29E-04
1628813_at,-1.29E-01,1.32E-06,3.30E-04
1641370_s_at,1.42E-01,1.41E-06,3.47E-04
1623950_s_at,-5.47E-01,1.47E-06,3.55E-04
1638448_at,1.50E-01,1.51E-06,3.55E-04
1641010_at,-4.54E-01,1.52E-06,3.55E-04
1627053_at,-1.35E-01,1.53E-06,3.55E-04
1636672_at,-5.73E-01,1.54E-06,3.55E-04
1631193_at,-1.51E-01,1.59E-06,3.62E-04
1640002_at,-1.79E-01,1.74E-06,3.92E-04
1628604_at,-2.12E-01,1.80E-06,4.01E-04
1639183_a_at,-3.63E-01,1.83E-06,4.04E-04
1640208_s_at,-1.54E-01,1.94E-06,4.22E-04
1634569_at,-1.38E-01,2.03E-06,4.38E-04
1628720_at,-9.02E-01,2.14E-06,4.55E-04
1636688_at,-2.92E-01,2.20E-06,4.63E-04
1632190_at,-1.53E-01,2.29E-06,4.77E-04
1634044_at,-3.17E-01,2.31E-06,4.77E-04
1636998_at,-3.01E-01,2.42E-06,4.93E-04
1625174_at,-1.99E-01,2.44E-06,4.93E-04
1641722_at,-1.59E-01,2.50E-06,4.99E-04
1633515_s_at,-6.47E-02,2.66E-06,5.24E-04
1630349_at,1.07E-01,2.77E-06,5.33E-04
1641489_at,-1.20E-01,2.78E-06,5.33E-04
1628177_at,5.13E-01,2.78E-06,5.33E-04
1633928_at,2.44E-01,2.86E-06,5.42E-04
1632430_at,3.62E-01,3.29E-06,6.17E-04
1628628_at,-1.33E-01,4.47E-06,8.30E-04
1634150_s_at,1.19E-01,4.54E-06,8.35E-04
1638592_at,1.41E-01,4.68E-06,8.54E-04
1633471_at,1.99E-01,4.79E-06,8.64E-04
1633675_at,-2.25E-01,5.19E-06,9.27E-04
1623425_at,1.39E-01,5.46E-06,9.63E-04
1633470_at,2.22E-01,5.49E-06,9.63E-04
1627637_at,-2.40E-01,5.55E-06,9.64E-04
1634658_a_at,-1.69E-01,5.68E-06,9.78E-04
1624225_at,-2.36E-01,5.88E-06,1.00E-03
1638103_at,-2.62E-01,5.91E-06,1.00E-03
1626840_a_at,-6.26E-02,6.08E-06,1.02E-03
1632818_at,-9.94E-02,6.45E-06,1.07E-03
1638064_a_at,-1.41E-01,6.52E-06,1.07E-03
1628732_at,-2.41E-01,6.87E-06,1.12E-03
1623391_at,-2.02E-01,6.95E-06,1.13E-03
1628121_at,1.14E-01,7.08E-06,1.13E-03
1641398_s_at,-2.81E-01,7.08E-06,1.13E-03
1622896_at,-1.86E-01,7.49E-06,1.18E-03
1638000_at,-7.92E-01,7.60E-06,1.18E-03
1636551_at,9.08E-02,7.63E-06,1.18E-03
1637671_a_at,-4.65E-02,7.66E-06,1.18E-03
1631441_s_at,-1.27E-01,7.71E-06,1.18E-03
1626045_at,1.19E-01,7.81E-06,1.18E-03
1631250_at,-1.16E-01,7.96E-06,1.20E-03
1636646_at,-2.56E-01,8.85E-06,1.32E-03
1635674_at,-1.69E-01,8.98E-06,1.33E-03
1638400_at,-1.42E-01,9.97E-06,1.47E-03
1634944_at,1.34E-01,1.09E-05,1.58E-03
1632087_at,1.87E-01,1.12E-05,1.63E-03
1637009_at,-1.20E-01,1.20E-05,1.73E-03
1628334_at,-2.80E-01,1.25E-05,1.78E-03
1627088_at,6.10E-01,1.26E-05,1.79E-03
1637246_a_at,-1.53E-01,1.28E-05,1.80E-03
1635450_a_at,-2.28E-01,1.32E-05,1.84E-03
1633411_s_at,-4.10E-01,1.36E-05,1.88E-03
1633957_s_at,1.16E-01,1.43E-05,1.96E-03
1641623_at,-1.22E-01,1.46E-05,1.99E-03
1631026_at,9.62E-02,1.47E-05,1.99E-03
1624497_at,-1.50E-01,1.61E-05,2.16E-03
1639564_a_at,1.34E-01,1.69E-05,2.25E-03
1634370_a_at,-2.35E-01,1.70E-05,2.25E-03
1634413_at,-2.19E-01,1.72E-05,2.26E-03
1624727_s_at,-1.57E-01,1.79E-05,2.33E-03
1629118_at,-4.08E-01,1.86E-05,2.41E-03
