Probe,logFC,p.val,adj.p.val
1624819_s_at,-8.82E-01,1.37E-14,2.59E-10
1626002_at,1.89E-01,1.07E-10,9.78E-07
1637182_at,5.02E-01,1.55E-10,9.78E-07
1631745_at,-1.06E-01,2.85E-10,1.35E-06
1625125_at,2.26E-01,7.06E-10,2.68E-06
1638508_at,-5.48E-01,3.80E-09,1.13E-05
1632855_at,-3.94E-01,4.54E-09,1.13E-05
1635527_at,-1.60E-01,4.75E-09,1.13E-05
1640957_at,2.40E-01,9.13E-09,1.74E-05
1639972_at,-2.06E-01,9.20E-09,1.74E-05
1625134_at,-9.14E-02,1.19E-08,2.05E-05
1636960_a_at,-1.40E-01,1.81E-08,2.85E-05
1627842_at,-2.26E-01,2.02E-08,2.95E-05
1626150_at,-1.42E-01,3.78E-08,4.73E-05
1633690_at,1.23E-01,3.82E-08,4.73E-05
1631077_at,-3.00E-01,3.99E-08,4.73E-05
1639625_at,1.15E-01,5.29E-08,5.90E-05
1640002_at,-1.97E-01,6.42E-08,6.76E-05
1624727_s_at,-1.67E-01,8.42E-08,8.40E-05
1638264_at,-1.009804798,9.11E-08,8.64E-05
1626301_at,1.93E-01,1.02E-07,9.19E-05
1634848_at,-2.39E-01,1.11E-07,9.32E-05
1634148_at,-4.58E-01,1.13E-07,9.32E-05
1637826_at,-1.37E-01,1.21E-07,9.52E-05
1636688_at,-3.00E-01,1.26E-07,9.56E-05
1636068_a_at,-8.21E-02,1.33E-07,9.67E-05
1631617_at,-4.32E-01,1.52E-07,1.07E-04
1633048_at,1.69E-01,1.63E-07,1.11E-04
1640167_s_at,4.45E-01,1.71E-07,1.12E-04
1632606_a_at,-1.54E-01,1.93E-07,1.22E-04
1631030_at,-7.90E-02,2.05E-07,1.25E-04
1632656_at,3.32E-01,2.26E-07,1.34E-04
1625634_at,-7.27E-02,2.51E-07,1.44E-04
1639766_at,-2.61E-01,2.60E-07,1.45E-04
1636271_a_at,1.22E-01,2.70E-07,1.46E-04
1624797_at,-1.54E-01,3.09E-07,1.63E-04
1638265_s_at,-7.23E-02,3.52E-07,1.80E-04
1633881_at,-1.76E-01,4.54E-07,2.24E-04
1637671_a_at,-5.11E-02,4.61E-07,2.24E-04
1635674_at,-1.91E-01,5.56E-07,2.63E-04
1634195_at,-2.09E-01,5.90E-07,2.73E-04
1629125_at,-2.45E-01,6.49E-07,2.88E-04
1623287_at,-2.16E-01,6.54E-07,2.88E-04
1634062_at,-1.72E-01,7.04E-07,3.03E-04
1638476_s_at,1.84E-01,7.43E-07,3.13E-04
1638717_at,-1.81E-01,7.69E-07,3.17E-04
1625533_at,8.59E-02,7.99E-07,3.22E-04
1634187_x_at,-2.88E-01,9.07E-07,3.58E-04
1636728_at,-3.64E-01,9.57E-07,3.70E-04
1627267_at,-1.94E-01,1.07E-06,4.07E-04
1628124_at,-1.90E-01,1.12E-06,4.15E-04
1625663_at,8.83E-02,1.42E-06,5.17E-04
1634557_at,-1.13E-01,1.57E-06,5.54E-04
1637490_at,1.10E-01,1.58E-06,5.54E-04
1638054_at,-1.50E-01,1.68E-06,5.77E-04
1628814_s_at,-1.13E-01,1.70E-06,5.77E-04
1635675_at,-3.93E-01,1.78E-06,5.91E-04
1636551_at,8.58E-02,1.85E-06,6.06E-04
1634112_a_at,-5.84E-02,1.90E-06,6.10E-04
1636409_at,-9.75E-01,2.03E-06,6.43E-04
1638592_at,1.63E-01,2.34E-06,7.27E-04
1631193_at,-1.55E-01,2.46E-06,7.51E-04
1626543_at,-8.19E-02,2.59E-06,7.69E-04
1633227_s_at,-1.39E-01,2.60E-06,7.69E-04
1640334_at,-3.13E-01,2.69E-06,7.72E-04
1639009_at,2.79E-01,2.71E-06,7.72E-04
1638400_at,-1.45E-01,2.73E-06,7.72E-04
1631441_s_at,-1.47E-01,3.25E-06,9.05E-04
1640629_s_at,8.29E-02,3.62E-06,9.93E-04
1626911_at,-1.84E-01,3.82E-06,1.00E-03
1629691_at,2.01E-01,3.82E-06,1.00E-03
1631435_at,-8.93E-02,3.83E-06,1.00E-03
1638844_s_at,1.25E-01,3.86E-06,1.00E-03
1639575_at,1.41E-01,4.11E-06,1.05E-03
1639034_at,-1.14E-01,4.24E-06,1.07E-03
1629252_at,1.11E-01,4.57E-06,1.14E-03
1637004_at,-8.89E-02,4.75E-06,1.17E-03
1633545_at,2.85E-01,4.92E-06,1.19E-03
1627053_at,-1.33E-01,5.11E-06,1.23E-03
1639902_at,-1.88E-01,5.41E-06,1.28E-03
1628121_at,1.15E-01,5.51E-06,1.29E-03
1625114_at,-2.12E-01,5.77E-06,1.33E-03
1641489_at,-1.44E-01,5.93E-06,1.35E-03
1638953_a_at,-5.50E-02,6.79E-06,1.52E-03
1627520_at,9.79E-02,6.82E-06,1.52E-03
1628950_at,-1.16E-01,7.16E-06,1.56E-03
1627088_at,5.74E-01,7.18E-06,1.56E-03
1639221_at,-5.59E-01,7.29E-06,1.57E-03
1626840_a_at,-6.69E-02,7.50E-06,1.60E-03
1639219_at,-7.72E-02,7.85E-06,1.64E-03
1624395_at,-1.37E-01,8.02E-06,1.64E-03
1629195_at,-9.94E-02,8.19E-06,1.64E-03
1629875_a_at,3.34E-01,8.28E-06,1.64E-03
1624169_at,-3.23E-01,8.29E-06,1.64E-03
1641693_s_at,-2.01E-01,8.34E-06,1.64E-03
1634408_at,-8.10E-02,8.44E-06,1.64E-03
1625174_at,-1.85E-01,8.48E-06,1.64E-03
1634944_at,1.45E-01,8.49E-06,1.64E-03
1639897_at,1.87E-01,9.10E-06,1.73E-03
1638810_at,-1.30E-01,9.19E-06,1.73E-03
1634713_at,-5.22E-02,9.23E-06,1.73E-03
1637975_at,-1.16E-01,1.01E-05,1.87E-03
1635659_at,-6.56E-02,1.12E-05,2.05E-03
1639747_at,6.75E-02,1.29E-05,2.35E-03
1640221_at,-1.18E-01,1.33E-05,2.38E-03
1633515_s_at,-5.90E-02,1.33E-05,2.38E-03
1641623_at,-1.63E-01,1.35E-05,2.39E-03
1632818_at,-1.02E-01,1.39E-05,2.44E-03
1625166_at,-1.37E-01,1.44E-05,2.50E-03
1632011_at,-1.34E-01,1.48E-05,2.54E-03
1628963_at,-1.71E-01,1.50E-05,2.54E-03
1631006_a_at,8.99E-02,1.50E-05,2.54E-03
1631165_at,-2.31E-01,1.63E-05,2.66E-03
1633470_at,2.34E-01,1.63E-05,2.66E-03
1626417_at,-2.26E-01,1.63E-05,2.66E-03
1637804_at,2.22E-01,1.63E-05,2.66E-03
1633434_at,1.95E-01,1.64E-05,2.66E-03
1631382_at,1.17E-01,1.83E-05,2.94E-03
1624046_at,8.11E-02,1.85E-05,2.94E-03
1639903_at,-5.32E-01,1.89E-05,2.99E-03
1630299_at,-2.14E-01,1.92E-05,3.01E-03
1640477_at,-1.48E-01,1.97E-05,3.03E-03
1627795_at,1.01E-01,1.98E-05,3.03E-03
1625875_at,-9.98E-02,1.99E-05,3.03E-03
1631026_at,7.62E-02,2.00E-05,3.03E-03
1628699_at,6.73E-01,2.11E-05,3.18E-03
1634127_a_at,-2.08E-01,2.17E-05,3.23E-03
1625044_at,1.38E-01,2.21E-05,3.25E-03
1641268_at,-2.61E-01,2.21E-05,3.25E-03
1626309_at,-2.28E-01,2.25E-05,3.26E-03
1634044_at,-3.36E-01,2.27E-05,3.26E-03
1639771_at,5.66E-02,2.27E-05,3.26E-03
1636958_s_at,-8.16E-02,2.31E-05,3.27E-03
1630266_at,-4.77E-01,2.31E-05,3.27E-03
1636643_at,-1.50E-01,2.35E-05,3.28E-03
1640595_at,-6.60E-02,2.35E-05,3.28E-03
1636794_at,9.51E-02,2.47E-05,3.41E-03
1635450_a_at,-2.28E-01,2.48E-05,3.41E-03
1635060_at,-1.48E-01,2.52E-05,3.43E-03
1633844_at,1.85E-01,2.56E-05,3.46E-03
1623848_a_at,2.71E-01,2.59E-05,3.46E-03
1628865_at,-4.42E-01,2.59E-05,3.46E-03
1634662_at,4.25E-01,2.71E-05,3.59E-03
1633081_at,8.47E-02,2.73E-05,3.59E-03
1630573_at,-8.57E-02,2.79E-05,3.65E-03
1637535_at,-1.86E-01,3.03E-05,3.94E-03
1640342_at,-3.83E-01,3.10E-05,4.00E-03
1631408_at,-2.75E-01,3.13E-05,4.00E-03
1637086_at,-1.95E-01,3.14E-05,4.00E-03
1624787_s_at,1.62E-01,3.18E-05,4.01E-03
1641533_at,9.02E-02,3.20E-05,4.02E-03
1622908_a_at,-2.68E-01,3.27E-05,4.07E-03
1635937_at,-3.30E-01,3.30E-05,4.09E-03
1635921_at,-1.63E-01,3.35E-05,4.12E-03
1641722_at,-1.72E-01,3.40E-05,4.16E-03
1625814_at,6.84E-02,3.43E-05,4.16E-03
1630543_at,-8.31E-02,3.49E-05,4.20E-03
1635061_at,-9.58E-02,3.50E-05,4.20E-03
1637819_at,-1.34E-01,3.53E-05,4.20E-03
1640208_s_at,-1.30E-01,3.58E-05,4.24E-03
1632179_at,8.49E-02,3.60E-05,4.24E-03
1635136_at,9.28E-02,3.77E-05,4.41E-03
1625193_at,1.75E-01,3.88E-05,4.50E-03
1632335_at,7.13E-02,3.90E-05,4.50E-03
1641718_at,-7.93E-02,3.92E-05,4.50E-03
1628232_at,-1.46E-01,3.96E-05,4.53E-03
1641681_s_at,-1.31E-01,4.14E-05,4.70E-03
1640129_at,-1.97E-01,4.17E-05,4.70E-03
1639427_at,-5.19E-01,4.20E-05,4.71E-03
1631674_at,-8.62E-02,4.24E-05,4.72E-03
1632358_at,-1.07E-01,4.38E-05,4.85E-03
1626503_at,-2.65E-01,4.50E-05,4.95E-03
1633957_s_at,1.20E-01,4.60E-05,5.04E-03
1629436_at,9.16E-02,4.76E-05,5.18E-03
1625794_at,-1.18E-01,4.99E-05,5.40E-03
1628628_at,-1.04E-01,5.13E-05,5.52E-03
1639894_at,-2.38E-01,5.38E-05,5.76E-03
1641074_s_at,6.34E-02,5.48E-05,5.80E-03
1635427_a_at,-8.49E-02,5.51E-05,5.80E-03
1623296_at,-2.29E-01,5.51E-05,5.80E-03
1632730_at,9.54E-02,5.56E-05,5.82E-03
1628621_at,-6.27E-02,5.66E-05,5.89E-03
1636736_s_at,-1.34E-01,5.69E-05,5.89E-03
1625755_at,-1.01E-01,5.79E-05,5.95E-03
1623109_at,1.06E-01,5.81E-05,5.95E-03
1637246_a_at,-1.61E-01,5.84E-05,5.95E-03
1637905_s_at,-1.44E-01,5.97E-05,6.03E-03
1636274_at,-3.15E-01,5.99E-05,6.03E-03
1635343_a_at,2.11E-01,6.14E-05,6.16E-03
1626027_at,-6.30E-01,6.29E-05,6.27E-03
