Probe,logFC,p.val,adj.p.val
1630260_at,6.49E-01,1.07E-09,1.65E-05
1640005_at,1.61E-01,2.49E-09,1.65E-05
1636271_a_at,-3.30E-01,3.54E-09,1.65E-05
1623540_at,2.02E-01,3.63E-09,1.65E-05
1630689_at,-2.29E-01,5.21E-09,1.65E-05
1640379_s_at,-2.77E-01,6.14E-09,1.65E-05
1637804_at,2.97E-01,6.32E-09,1.65E-05
1636743_s_at,2.15E-01,6.95E-09,1.65E-05
1637713_at,1.32E-01,8.67E-09,1.70E-05
1632920_at,-2.93E-01,8.96E-09,1.70E-05
1633879_a_at,2.07E-01,1.12E-08,1.93E-05
1634263_at,3.15E-01,1.80E-08,2.85E-05
1634808_at,3.01E-01,2.98E-08,4.35E-05
1624797_at,3.55E-01,3.28E-08,4.44E-05
1625363_at,2.66E-01,3.61E-08,4.57E-05
1627842_at,2.22E-01,4.72E-08,5.59E-05
1633079_at,2.24E-01,5.50E-08,6.09E-05
1629207_at,-1.38E-01,6.03E-08,6.09E-05
1630502_at,2.79E-01,6.11E-08,6.09E-05
1634699_a_at,-2.40E-01,6.80E-08,6.45E-05
1630149_at,1.90E-01,7.16E-08,6.46E-05
1627978_at,-2.63E-01,7.65E-08,6.57E-05
1625036_at,2.39E-01,7.98E-08,6.57E-05
1638054_at,4.62E-01,8.73E-08,6.78E-05
1629474_at,2.15E-01,9.30E-08,6.78E-05
1636208_a_at,-1.65E-01,9.31E-08,6.78E-05
1631487_s_at,2.03E-01,1.22E-07,8.54E-05
1627847_s_at,-2.38E-01,1.29E-07,8.74E-05
1623331_at,1.57E-01,1.68E-07,1.04E-04
1625468_at,-1.94E-01,1.69E-07,1.04E-04
1626309_at,1.69E-01,1.71E-07,1.04E-04
1623658_at,1.38E-01,1.75E-07,1.04E-04
1622977_at,2.78E-01,2.02E-07,1.15E-04
1639972_at,2.01E-01,2.06E-07,1.15E-04
1626894_at,-1.82E-01,2.43E-07,1.26E-04
1639567_at,1.21E-01,2.45E-07,1.26E-04
1634216_at,-1.92E-01,2.45E-07,1.26E-04
1624396_at,1.31E-01,2.62E-07,1.31E-04
1624932_at,2.04E-01,3.12E-07,1.52E-04
1630654_at,-1.96E-01,3.63E-07,1.72E-04
1638374_at,1.90E-01,4.54E-07,2.05E-04
1630603_at,-1.84E-01,4.54E-07,2.05E-04
1640479_at,2.25E-01,4.71E-07,2.08E-04
1631803_at,-4.79E-01,5.24E-07,2.26E-04
1637204_at,1.44E-01,5.51E-07,2.32E-04
1638837_a_at,-1.23E-01,6.30E-07,2.49E-04
1631743_at,-1.39E-01,6.48E-07,2.49E-04
1641549_at,-7.89E-02,6.53E-07,2.49E-04
1623817_at,-2.20E-01,6.57E-07,2.49E-04
1627635_at,-1.32E-01,6.58E-07,2.49E-04
1627833_at,-1.33E-01,6.97E-07,2.59E-04
1634008_at,1.43E-01,7.80E-07,2.84E-04
1629199_at,-3.30E-01,8.25E-07,2.88E-04
1622912_at,-1.76E-01,8.29E-07,2.88E-04
1635251_at,4.58E-01,8.37E-07,2.88E-04
1633031_at,-4.08E-01,9.20E-07,3.11E-04
1628117_at,2.15E-01,9.96E-07,3.22E-04
1626745_at,9.78E-02,1.00E-06,3.22E-04
1629428_at,1.52E-01,1.00E-06,3.22E-04
1636242_at,-2.13E-01,1.06E-06,3.36E-04
1632251_s_at,9.88E-02,1.11E-06,3.45E-04
1638872_at,-1.42E-01,1.18E-06,3.62E-04
1630299_at,3.34E-01,1.23E-06,3.65E-04
1633883_at,1.20E-01,1.23E-06,3.65E-04
1627267_at,2.07E-01,1.26E-06,3.66E-04
1623874_at,-1.52E-01,1.28E-06,3.67E-04
1636085_at,-1.16E-01,1.31E-06,3.71E-04
1639732_s_at,-1.82E-01,1.34E-06,3.71E-04
1640957_at,-1.63E-01,1.35E-06,3.71E-04
1631682_at,-1.81E-01,1.39E-06,3.75E-04
1629359_at,-1.26E-01,1.41E-06,3.78E-04
1624902_at,1.56E-01,1.44E-06,3.79E-04
1630456_at,1.52E-01,1.55E-06,3.99E-04
1639680_at,-1.82E-01,1.56E-06,3.99E-04
1636119_at,1.84E-01,1.59E-06,4.02E-04
1640793_at,-7.95E-02,1.61E-06,4.02E-04
1639819_at,-4.19E-01,1.68E-06,4.14E-04
1630570_at,2.17E-01,2.06E-06,5.00E-04
1631858_at,1.85E-01,2.10E-06,5.03E-04
1635716_at,1.26E-01,2.25E-06,5.32E-04
1637257_at,9.51E-02,2.35E-06,5.49E-04
1638654_at,8.63E-02,2.44E-06,5.63E-04
1636274_at,5.49E-01,2.63E-06,6.00E-04
1638301_at,3.60E-01,2.67E-06,6.01E-04
1630532_at,1.23E-01,2.70E-06,6.01E-04
1629118_at,4.80E-01,2.78E-06,6.11E-04
1630244_s_at,4.08E-01,2.80E-06,6.11E-04
1640950_at,-3.93E-01,2.98E-06,6.41E-04
1638425_at,1.41E-01,3.68E-06,7.82E-04
1625512_s_at,2.10E-01,3.75E-06,7.82E-04
1641082_at,-2.75E-01,3.76E-06,7.82E-04
1632642_a_at,-9.38E-02,3.86E-06,7.85E-04
1641290_at,-2.98E-01,3.87E-06,7.85E-04
